x1;y1;x2;y2;dominant_hsv_color;dist_A;dist_B;FrameID;TrackID;session_id;min_dist;threshold;team_assignment;team_box_color;total_team_A;total_team_B;center_x;center_y;avg_x;avg_y
669;610;727;723;[     100.67      35.375      234.27];136.28;14.83;620;723;1;14.83;99.79;B;(0, 255, 0);4;5;698;666;1062.6;596.0
825;519;885;632;[     97.858      37.781      236.56];136.81;14.79;620;725;1;14.79;99.79;B;(0, 255, 0);4;5;855;575;1062.6;596.0
695;566;758;667;[     89.496      86.198      124.74];32.78;114.33;620;726;1;32.78;99.79;A;(255, 0, 0);4;5;726;616;1047.75;592.75
1652;591;1702;700;[     173.43      187.21      175.34];112.3;163.74;620;727;1;112.3;99.79;X;(0, 0, 255);4;5;1677;645;1677.0;645.0
997;431;1041;533;[     96.352      28.465      246.07];150.02;26.95;620;728;1;26.95;99.79;B;(0, 255, 0);4;5;1019;482;1062.6;596.0
481;636;543;758;[     109.71      198.04      106.24];84.22;194.84;620;730;1;84.22;99.79;A;(255, 0, 0);4;5;512;697;1047.75;592.75
1322;377;1370;452;[     103.66      197.77      102.78];84.51;196.86;620;731;1;84.51;99.79;A;(255, 0, 0);4;5;1346;414;1047.75;592.75
1580;587;1635;702;[     89.341       46.49      150.01];75.38;83.23;620;756;1;75.38;99.79;A;(255, 0, 0);4;5;1607;644;1047.75;592.75
1177;603;1243;718;[     102.06      37.307      224.93];127.66;13.89;620;765;1;13.89;99.79;B;(0, 255, 0);4;5;1210;660;1062.6;596.0
1499;537;1564;657;[     97.613       36.86      241.76];141.62;18.01;620;801;1;18.01;99.79;B;(0, 255, 0);4;5;1531;597;1062.6;596.0
675;608;731;716;[     99.891      35.476      236.56];138.09;15.65;621;723;1;15.65;109.63;B;(0, 255, 0);4;5;703;662;1066.2;594.6
829;518;890;630;[     93.274       38.88      230.29];131.34;16.42;621;725;1;16.42;109.63;B;(0, 255, 0);4;5;859;574;1066.2;594.6
694;565;756;665;[     109.02      206.38      131.26];90.73;186.75;621;726;1;90.73;109.63;A;(255, 0, 0);4;5;725;615;1050.75;592.5
1660;589;1710;696;[     173.57      190.36      178.14];115.68;165.55;621;727;1;115.68;109.63;X;(0, 0, 255);4;5;1685;642;1685.0;642.0
1005;430;1050;533;[     96.768      33.812      242.29];143.82;20.81;621;728;1;20.81;109.63;B;(0, 255, 0);4;5;1027;481;1066.2;594.6
