x1;y1;x2;y2;dominant_hsv_color;dist_A;dist_B;FrameID;TrackID;session_id;min_dist;threshold;team_assignment;team_box_color;total_team_A;total_team_B;center_x;center_y;avg_x;avg_y
353;726;425;863;[      93.12      71.417      115.75];47.49;118.67;523;730;1;47.49;88.72;A;(255, 0, 0);6;6;389;794;936.83;711.33
995;301;1029;374;[     105.89      199.57      112.15];83.37;192.29;523;731;1;83.37;88.72;A;(255, 0, 0);6;6;1012;337;936.83;711.33
1160;576;1212;662;[     107.81      213.67      127.43];96.74;194.97;523;756;1;96.74;88.72;A;(255, 0, 0);6;6;1186;619;936.83;711.33
951;653;997;775;[     105.95      44.441      236.25];133.73;6.46;523;765;1;6.46;88.72;B;(0, 255, 0);6;6;974;714;871.5;614.83
1142;541;1196;616;[      100.3      55.686       227.7];120.54;9.89;523;807;1;9.89;88.72;B;(0, 255, 0);6;6;1169;578;871.5;614.83
1403;818;1472;957;[     105.13      184.33      97.026];72.48;190.92;524;722;1;72.48;88.87;A;(255, 0, 0);6;6;1437;887;932.83;713.17
376;683;428;785;[     106.27      47.541      234.75];130.81;3.49;524;723;1;3.49;88.87;B;(0, 255, 0);6;6;402;734;868.5;617.67
1361;524;1422;615;[     69.549      41.072      119.73];83.21;117.91;524;724;1;83.21;88.87;B;(0, 255, 0);6;6;1391;569;868.5;617.67
730;519;777;639;[     101.53      35.409      235.85];138.51;14.87;524;725;1;14.87;88.87;B;(0, 255, 0);6;6;753;579;868.5;617.67
545;522;595;632;[     110.14      86.166      148.96];40.36;90.67;524;726;1;40.36;88.87;A;(255, 0, 0);6;6;570;577;932.83;713.17
1305;607;1346;723;[     98.693      151.28      55.229];76.93;204.03;524;727;1;76.93;88.87;X;(0, 0, 255);6;6;1325;665;1325.0;665.0
496;475;549;583;[     99.957      30.696      233.14];139.23;19.26;524;728;1;19.26;88.87;B;(0, 255, 0);6;6;522;529;868.5;617.67
1005;1045;1041;1079;[     107.27      136.77      71.537];56.2;182.55;524;729;1;56.2;88.87;A;(255, 0, 0);6;6;1023;1062;932.83;713.17
339;723;412;864;[     89.119      69.077      117.36];50.46;117.19;524;730;1;50.46;88.87;A;(255, 0, 0);6;6;375;793;932.83;713.17
991;303;1024;375;[     106.24      199.38      110.02];83.52;193.47;524;731;1;83.52;88.87;A;(255, 0, 0);6;6;1007;339;932.83;713.17
1159;580;1212;663;[     107.57      213.89      123.75];96.89;197.14;524;756;1;96.89;88.87;A;(255, 0, 0);6;6;1185;621;932.83;713.17
947;652;993;776;[     106.38      42.877      236.59];134.88;7.81;524;765;1;7.81;88.87;B;(0, 255, 0);6;6;970;714;868.5;617.67
1147;543;1200;619;[     100.35      56.501      227.43];119.89;10.55;524;807;1;10.55;88.87;B;(0, 255, 0);6;6;1173;581;868.5;617.67
1400;819;1471;960;[     104.57      185.61      95.771];74.12;192.72;525;722;1;74.12;90.27;A;(255, 0, 0);6;5;1435;889;928.83;713.5
370;684;425;794;[     106.38      46.055       232.7];129.89;3.0;525;723;1;3.0;90.27;B;(0, 255, 0);6;5;397;739;803.8;626.2
1360;524;1421;616;[     96.099      27.444      231.53];140.17;23.67;525;724;1;23.67;90.27;B;(0, 255, 0);6;5;1390;570;803.8;626.2
724;518;770;639;[     101.12      37.269       236.4];137.87;13.57;525;725;1;13.57;90.27;B;(0, 255, 0);6;5;747;578;803.8;626.2
539;522;591;633;[     107.87      80.961      143.72];41.44;93.49;525;726;1;41.44;90.27;A;(255, 0, 0);6;5;565;577;928.83;713.5
1302;608;1345;726;[     99.444      153.12        56.3];76.79;204.01;525;727;1;76.79;90.27;X;(0, 0, 255);6;5;1323;667;1323.0;667.0
493;477;545;584;[     99.206      31.351      233.44];139.07;18.94;525;728;1;18.94;90.27;B;(0, 255, 0);6;5;519;530;803.8;626.2
1006;1048;1039;1079;[     85.858      93.481      42.683];86.43;195.1;525;729;1;86.43;90.27;A;(255, 0, 0);6;5;1022;1063;928.83;713.5
326;722;396;858;[     95.891      63.637      114.38];54.8;118.5;525;730;1;54.8;90.27;A;(255, 0, 0);6;5;361;790;928.83;713.5
986;303;1020;376;[     104.33      106.98      126.19];10.42;120.33;525;731;1;10.42;90.27;A;(255, 0, 0);6;5;1003;339;928.83;713.5
1159;581;1215;665;[     108.02      211.92       125.6];94.96;194.48;525;756;1;94.96;90.27;A;(255, 0, 0);6;5;1187;623;928.83;713.5
942;651;990;778;[     105.47      42.504      237.55];135.87;8.78;525;765;1;8.78;90.27;B;(0, 255, 0);6;5;966;714;803.8;626.2
1397;820;1469;962;[     105.26      182.57      94.841];71.71;191.23;526;722;1;71.71;92.56;A;(255, 0, 0);6;5;1433;891;924.0;713.83
